,name1,pic1,name2,pic2,path_x1_1,path_x2_1,path_x3_1,path_x4_1,path_x1_2,path_x2_2,path_x3_2,path_x4_2
0,Geraldine_Chaplin,3,Luis_Ernesto_Derbez_Bautista,3,dataset/lfw_funneled/Geraldine_Chaplin/Geraldine_Chaplin_0003.jpg,dataset/output_x2/Geraldine_Chaplin_0003_result.jpg,dataset/output_x3/Geraldine_Chaplin_0003_result.jpg,dataset/output_x4/Geraldine_Chaplin_0003_result.jpg,dataset/lfw_funneled/Luis_Ernesto_Derbez_Bautista/Luis_Ernesto_Derbez_Bautista_0003.jpg,dataset/output_x2/Luis_Ernesto_Derbez_Bautista_0003_result.jpg,dataset/output_x3/Luis_Ernesto_Derbez_Bautista_0003_result.jpg,dataset/output_x4/Luis_Ernesto_Derbez_Bautista_0003_result.jpg
1,Edmund_Stoiber,12,John_Manley,5,dataset/lfw_funneled/Edmund_Stoiber/Edmund_Stoiber_0012.jpg,dataset/output_x2/Edmund_Stoiber_0012_result.jpg,dataset/output_x3/Edmund_Stoiber_0012_result.jpg,dataset/output_x4/Edmund_Stoiber_0012_result.jpg,dataset/lfw_funneled/John_Manley/John_Manley_0005.jpg,dataset/output_x2/John_Manley_0005_result.jpg,dataset/output_x3/John_Manley_0005_result.jpg,dataset/output_x4/John_Manley_0005_result.jpg
2,John_Snow,15,Zico,1,dataset/lfw_funneled/John_Snow/John_Snow_0015.jpg,dataset/output_x2/John_Snow_0015_result.jpg,dataset/output_x3/John_Snow_0015_result.jpg,dataset/output_x4/John_Snow_0015_result.jpg,dataset/lfw_funneled/Zico/Zico_0001.jpg,dataset/output_x2/Zico_0001_result.jpg,dataset/output_x3/Zico_0001_result.jpg,dataset/output_x4/Zico_0001_result.jpg
3,Candice_Bergen,1,Jennifer_Garner,5,dataset/lfw_funneled/Candice_Bergen/Candice_Bergen_0001.jpg,dataset/output_x2/Candice_Bergen_0001_result.jpg,dataset/output_x3/Candice_Bergen_0001_result.jpg,dataset/output_x4/Candice_Bergen_0001_result.jpg,dataset/lfw_funneled/Jennifer_Garner/Jennifer_Garner_0005.jpg,dataset/output_x2/Jennifer_Garner_0005_result.jpg,dataset/output_x3/Jennifer_Garner_0005_result.jpg,dataset/output_x4/Jennifer_Garner_0005_result.jpg
4,Carla_Myers,2,John_Snow,3,dataset/lfw_funneled/Carla_Myers/Carla_Myers_0002.jpg,dataset/output_x2/Carla_Myers_0002_result.jpg,dataset/output_x3/Carla_Myers_0002_result.jpg,dataset/output_x4/Carla_Myers_0002_result.jpg,dataset/lfw_funneled/John_Snow/John_Snow_0003.jpg,dataset/output_x2/John_Snow_0003_result.jpg,dataset/output_x3/John_Snow_0003_result.jpg,dataset/output_x4/John_Snow_0003_result.jpg
5,Antony_Leung,1,Terry_McAuliffe,1,dataset/lfw_funneled/Antony_Leung/Antony_Leung_0001.jpg,dataset/output_x2/Antony_Leung_0001_result.jpg,dataset/output_x3/Antony_Leung_0001_result.jpg,dataset/output_x4/Antony_Leung_0001_result.jpg,dataset/lfw_funneled/Terry_McAuliffe/Terry_McAuliffe_0001.jpg,dataset/output_x2/Terry_McAuliffe_0001_result.jpg,dataset/output_x3/Terry_McAuliffe_0001_result.jpg,dataset/output_x4/Terry_McAuliffe_0001_result.jpg
6,Johnson_Panjaitan,1,Kate_Winslet,2,dataset/lfw_funneled/Johnson_Panjaitan/Johnson_Panjaitan_0001.jpg,dataset/output_x2/Johnson_Panjaitan_0001_result.jpg,dataset/output_x3/Johnson_Panjaitan_0001_result.jpg,dataset/output_x4/Johnson_Panjaitan_0001_result.jpg,dataset/lfw_funneled/Kate_Winslet/Kate_Winslet_0002.jpg,dataset/output_x2/Kate_Winslet_0002_result.jpg,dataset/output_x3/Kate_Winslet_0002_result.jpg,dataset/output_x4/Kate_Winslet_0002_result.jpg
7,Dale_Earnhardt_Jr,1,Tyra_Banks,1,dataset/lfw_funneled/Dale_Earnhardt_Jr/Dale_Earnhardt_Jr_0001.jpg,dataset/output_x2/Dale_Earnhardt_Jr_0001_result.jpg,dataset/output_x3/Dale_Earnhardt_Jr_0001_result.jpg,dataset/output_x4/Dale_Earnhardt_Jr_0001_result.jpg,dataset/lfw_funneled/Tyra_Banks/Tyra_Banks_0001.jpg,dataset/output_x2/Tyra_Banks_0001_result.jpg,dataset/output_x3/Tyra_Banks_0001_result.jpg,dataset/output_x4/Tyra_Banks_0001_result.jpg
8,Emmanuelle_Beart,2,Naomi_Campbell,1,dataset/lfw_funneled/Emmanuelle_Beart/Emmanuelle_Beart_0002.jpg,dataset/output_x2/Emmanuelle_Beart_0002_result.jpg,dataset/output_x3/Emmanuelle_Beart_0002_result.jpg,dataset/output_x4/Emmanuelle_Beart_0002_result.jpg,dataset/lfw_funneled/Naomi_Campbell/Naomi_Campbell_0001.jpg,dataset/output_x2/Naomi_Campbell_0001_result.jpg,dataset/output_x3/Naomi_Campbell_0001_result.jpg,dataset/output_x4/Naomi_Campbell_0001_result.jpg
9,Bob_Graham,2,Demi_Moore,3,dataset/lfw_funneled/Bob_Graham/Bob_Graham_0002.jpg,dataset/output_x2/Bob_Graham_0002_result.jpg,dataset/output_x3/Bob_Graham_0002_result.jpg,dataset/output_x4/Bob_Graham_0002_result.jpg,dataset/lfw_funneled/Demi_Moore/Demi_Moore_0003.jpg,dataset/output_x2/Demi_Moore_0003_result.jpg,dataset/output_x3/Demi_Moore_0003_result.jpg,dataset/output_x4/Demi_Moore_0003_result.jpg
10,Jacques_Rogge,9,Kim_Jong-Il,2,dataset/lfw_funneled/Jacques_Rogge/Jacques_Rogge_0009.jpg,dataset/output_x2/Jacques_Rogge_0009_result.jpg,dataset/output_x3/Jacques_Rogge_0009_result.jpg,dataset/output_x4/Jacques_Rogge_0009_result.jpg,dataset/lfw_funneled/Kim_Jong-Il/Kim_Jong-Il_0002.jpg,dataset/output_x2/Kim_Jong-Il_0002_result.jpg,dataset/output_x3/Kim_Jong-Il_0002_result.jpg,dataset/output_x4/Kim_Jong-Il_0002_result.jpg
11,Gene_Robinson,2,Zico,2,dataset/lfw_funneled/Gene_Robinson/Gene_Robinson_0002.jpg,dataset/output_x2/Gene_Robinson_0002_result.jpg,dataset/output_x3/Gene_Robinson_0002_result.jpg,dataset/output_x4/Gene_Robinson_0002_result.jpg,dataset/lfw_funneled/Zico/Zico_0002.jpg,dataset/output_x2/Zico_0002_result.jpg,dataset/output_x3/Zico_0002_result.jpg,dataset/output_x4/Zico_0002_result.jpg
12,Cathy_Freeman,1,John_McCain,2,dataset/lfw_funneled/Cathy_Freeman/Cathy_Freeman_0001.jpg,dataset/output_x2/Cathy_Freeman_0001_result.jpg,dataset/output_x3/Cathy_Freeman_0001_result.jpg,dataset/output_x4/Cathy_Freeman_0001_result.jpg,dataset/lfw_funneled/John_McCain/John_McCain_0002.jpg,dataset/output_x2/John_McCain_0002_result.jpg,dataset/output_x3/John_McCain_0002_result.jpg,dataset/output_x4/John_McCain_0002_result.jpg
13,Anders_Fogh_Rasmussen,1,Johnson_Panjaitan,2,dataset/lfw_funneled/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0001.jpg,dataset/output_x2/Anders_Fogh_Rasmussen_0001_result.jpg,dataset/output_x3/Anders_Fogh_Rasmussen_0001_result.jpg,dataset/output_x4/Anders_Fogh_Rasmussen_0001_result.jpg,dataset/lfw_funneled/Johnson_Panjaitan/Johnson_Panjaitan_0002.jpg,dataset/output_x2/Johnson_Panjaitan_0002_result.jpg,dataset/output_x3/Johnson_Panjaitan_0002_result.jpg,dataset/output_x4/Johnson_Panjaitan_0002_result.jpg
14,Emmanuelle_Beart,1,Vaclav_Havel,7,dataset/lfw_funneled/Emmanuelle_Beart/Emmanuelle_Beart_0001.jpg,dataset/output_x2/Emmanuelle_Beart_0001_result.jpg,dataset/output_x3/Emmanuelle_Beart_0001_result.jpg,dataset/output_x4/Emmanuelle_Beart_0001_result.jpg,dataset/lfw_funneled/Vaclav_Havel/Vaclav_Havel_0007.jpg,dataset/output_x2/Vaclav_Havel_0007_result.jpg,dataset/output_x3/Vaclav_Havel_0007_result.jpg,dataset/output_x4/Vaclav_Havel_0007_result.jpg
15,Carla_Myers,2,Dick_Vermeil,2,dataset/lfw_funneled/Carla_Myers/Carla_Myers_0002.jpg,dataset/output_x2/Carla_Myers_0002_result.jpg,dataset/output_x3/Carla_Myers_0002_result.jpg,dataset/output_x4/Carla_Myers_0002_result.jpg,dataset/lfw_funneled/Dick_Vermeil/Dick_Vermeil_0002.jpg,dataset/output_x2/Dick_Vermeil_0002_result.jpg,dataset/output_x3/Dick_Vermeil_0002_result.jpg,dataset/output_x4/Dick_Vermeil_0002_result.jpg
16,Nestor_Kirchner,17,Vitali_Klitschko,2,dataset/lfw_funneled/Nestor_Kirchner/Nestor_Kirchner_0017.jpg,dataset/output_x2/Nestor_Kirchner_0017_result.jpg,dataset/output_x3/Nestor_Kirchner_0017_result.jpg,dataset/output_x4/Nestor_Kirchner_0017_result.jpg,dataset/lfw_funneled/Vitali_Klitschko/Vitali_Klitschko_0002.jpg,dataset/output_x2/Vitali_Klitschko_0002_result.jpg,dataset/output_x3/Vitali_Klitschko_0002_result.jpg,dataset/output_x4/Vitali_Klitschko_0002_result.jpg
17,Jose_Serra,8,Lance_Armstrong,18,dataset/lfw_funneled/Jose_Serra/Jose_Serra_0008.jpg,dataset/output_x2/Jose_Serra_0008_result.jpg,dataset/output_x3/Jose_Serra_0008_result.jpg,dataset/output_x4/Jose_Serra_0008_result.jpg,dataset/lfw_funneled/Lance_Armstrong/Lance_Armstrong_0018.jpg,dataset/output_x2/Lance_Armstrong_0018_result.jpg,dataset/output_x3/Lance_Armstrong_0018_result.jpg,dataset/output_x4/Lance_Armstrong_0018_result.jpg
18,Jeremy_Greenstock,17,Lleyton_Hewitt,1,dataset/lfw_funneled/Jeremy_Greenstock/Jeremy_Greenstock_0017.jpg,dataset/output_x2/Jeremy_Greenstock_0017_result.jpg,dataset/output_x3/Jeremy_Greenstock_0017_result.jpg,dataset/output_x4/Jeremy_Greenstock_0017_result.jpg,dataset/lfw_funneled/Lleyton_Hewitt/Lleyton_Hewitt_0001.jpg,dataset/output_x2/Lleyton_Hewitt_0001_result.jpg,dataset/output_x3/Lleyton_Hewitt_0001_result.jpg,dataset/output_x4/Lleyton_Hewitt_0001_result.jpg
19,Gray_Davis,21,Vaclav_Havel,6,dataset/lfw_funneled/Gray_Davis/Gray_Davis_0021.jpg,dataset/output_x2/Gray_Davis_0021_result.jpg,dataset/output_x3/Gray_Davis_0021_result.jpg,dataset/output_x4/Gray_Davis_0021_result.jpg,dataset/lfw_funneled/Vaclav_Havel/Vaclav_Havel_0006.jpg,dataset/output_x2/Vaclav_Havel_0006_result.jpg,dataset/output_x3/Vaclav_Havel_0006_result.jpg,dataset/output_x4/Vaclav_Havel_0006_result.jpg
20,Luis_Ernesto_Derbez_Bautista,3,Paul_Bremer,17,dataset/lfw_funneled/Luis_Ernesto_Derbez_Bautista/Luis_Ernesto_Derbez_Bautista_0003.jpg,dataset/output_x2/Luis_Ernesto_Derbez_Bautista_0003_result.jpg,dataset/output_x3/Luis_Ernesto_Derbez_Bautista_0003_result.jpg,dataset/output_x4/Luis_Ernesto_Derbez_Bautista_0003_result.jpg,dataset/lfw_funneled/Paul_Bremer/Paul_Bremer_0017.jpg,dataset/output_x2/Paul_Bremer_0017_result.jpg,dataset/output_x3/Paul_Bremer_0017_result.jpg,dataset/output_x4/Paul_Bremer_0017_result.jpg
21,Rick_Perry,1,Valerie_Harper,2,dataset/lfw_funneled/Rick_Perry/Rick_Perry_0001.jpg,dataset/output_x2/Rick_Perry_0001_result.jpg,dataset/output_x3/Rick_Perry_0001_result.jpg,dataset/output_x4/Rick_Perry_0001_result.jpg,dataset/lfw_funneled/Valerie_Harper/Valerie_Harper_0002.jpg,dataset/output_x2/Valerie_Harper_0002_result.jpg,dataset/output_x3/Valerie_Harper_0002_result.jpg,dataset/output_x4/Valerie_Harper_0002_result.jpg
22,Boris_Becker,2,Paul_Sarbanes,1,dataset/lfw_funneled/Boris_Becker/Boris_Becker_0002.jpg,dataset/output_x2/Boris_Becker_0002_result.jpg,dataset/output_x3/Boris_Becker_0002_result.jpg,dataset/output_x4/Boris_Becker_0002_result.jpg,dataset/lfw_funneled/Paul_Sarbanes/Paul_Sarbanes_0001.jpg,dataset/output_x2/Paul_Sarbanes_0001_result.jpg,dataset/output_x3/Paul_Sarbanes_0001_result.jpg,dataset/output_x4/Paul_Sarbanes_0001_result.jpg
23,Sergio_Garcia,1,Vince_Carter,4,dataset/lfw_funneled/Sergio_Garcia/Sergio_Garcia_0001.jpg,dataset/output_x2/Sergio_Garcia_0001_result.jpg,dataset/output_x3/Sergio_Garcia_0001_result.jpg,dataset/output_x4/Sergio_Garcia_0001_result.jpg,dataset/lfw_funneled/Vince_Carter/Vince_Carter_0004.jpg,dataset/output_x2/Vince_Carter_0004_result.jpg,dataset/output_x3/Vince_Carter_0004_result.jpg,dataset/output_x4/Vince_Carter_0004_result.jpg
24,Brad_Johnson,2,Vitali_Klitschko,4,dataset/lfw_funneled/Brad_Johnson/Brad_Johnson_0002.jpg,dataset/output_x2/Brad_Johnson_0002_result.jpg,dataset/output_x3/Brad_Johnson_0002_result.jpg,dataset/output_x4/Brad_Johnson_0002_result.jpg,dataset/lfw_funneled/Vitali_Klitschko/Vitali_Klitschko_0004.jpg,dataset/output_x2/Vitali_Klitschko_0004_result.jpg,dataset/output_x3/Vitali_Klitschko_0004_result.jpg,dataset/output_x4/Vitali_Klitschko_0004_result.jpg
25,Jeremy_Greenstock,3,Saeb_Erekat,1,dataset/lfw_funneled/Jeremy_Greenstock/Jeremy_Greenstock_0003.jpg,dataset/output_x2/Jeremy_Greenstock_0003_result.jpg,dataset/output_x3/Jeremy_Greenstock_0003_result.jpg,dataset/output_x4/Jeremy_Greenstock_0003_result.jpg,dataset/lfw_funneled/Saeb_Erekat/Saeb_Erekat_0001.jpg,dataset/output_x2/Saeb_Erekat_0001_result.jpg,dataset/output_x3/Saeb_Erekat_0001_result.jpg,dataset/output_x4/Saeb_Erekat_0001_result.jpg
26,Jeremy_Greenstock,14,Kristin_Davis,3,dataset/lfw_funneled/Jeremy_Greenstock/Jeremy_Greenstock_0014.jpg,dataset/output_x2/Jeremy_Greenstock_0014_result.jpg,dataset/output_x3/Jeremy_Greenstock_0014_result.jpg,dataset/output_x4/Jeremy_Greenstock_0014_result.jpg,dataset/lfw_funneled/Kristin_Davis/Kristin_Davis_0003.jpg,dataset/output_x2/Kristin_Davis_0003_result.jpg,dataset/output_x3/Kristin_Davis_0003_result.jpg,dataset/output_x4/Kristin_Davis_0003_result.jpg
27,Bill_Frist,2,Jeanne_Moreau,1,dataset/lfw_funneled/Bill_Frist/Bill_Frist_0002.jpg,dataset/output_x2/Bill_Frist_0002_result.jpg,dataset/output_x3/Bill_Frist_0002_result.jpg,dataset/output_x4/Bill_Frist_0002_result.jpg,dataset/lfw_funneled/Jeanne_Moreau/Jeanne_Moreau_0001.jpg,dataset/output_x2/Jeanne_Moreau_0001_result.jpg,dataset/output_x3/Jeanne_Moreau_0001_result.jpg,dataset/output_x4/Jeanne_Moreau_0001_result.jpg
28,Jacques_Rogge,3,Jimmy_Carter,8,dataset/lfw_funneled/Jacques_Rogge/Jacques_Rogge_0003.jpg,dataset/output_x2/Jacques_Rogge_0003_result.jpg,dataset/output_x3/Jacques_Rogge_0003_result.jpg,dataset/output_x4/Jacques_Rogge_0003_result.jpg,dataset/lfw_funneled/Jimmy_Carter/Jimmy_Carter_0008.jpg,dataset/output_x2/Jimmy_Carter_0008_result.jpg,dataset/output_x3/Jimmy_Carter_0008_result.jpg,dataset/output_x4/Jimmy_Carter_0008_result.jpg
29,David_Caruso,2,John_Snow,16,dataset/lfw_funneled/David_Caruso/David_Caruso_0002.jpg,dataset/output_x2/David_Caruso_0002_result.jpg,dataset/output_x3/David_Caruso_0002_result.jpg,dataset/output_x4/David_Caruso_0002_result.jpg,dataset/lfw_funneled/John_Snow/John_Snow_0016.jpg,dataset/output_x2/John_Snow_0016_result.jpg,dataset/output_x3/John_Snow_0016_result.jpg,dataset/output_x4/John_Snow_0016_result.jpg
30,Amber_Tamblyn,1,Edmund_Stoiber,7,dataset/lfw_funneled/Amber_Tamblyn/Amber_Tamblyn_0001.jpg,dataset/output_x2/Amber_Tamblyn_0001_result.jpg,dataset/output_x3/Amber_Tamblyn_0001_result.jpg,dataset/output_x4/Amber_Tamblyn_0001_result.jpg,dataset/lfw_funneled/Edmund_Stoiber/Edmund_Stoiber_0007.jpg,dataset/output_x2/Edmund_Stoiber_0007_result.jpg,dataset/output_x3/Edmund_Stoiber_0007_result.jpg,dataset/output_x4/Edmund_Stoiber_0007_result.jpg
31,Dai_Bachtiar,2,Yukiko_Okudo,1,dataset/lfw_funneled/Dai_Bachtiar/Dai_Bachtiar_0002.jpg,dataset/output_x2/Dai_Bachtiar_0002_result.jpg,dataset/output_x3/Dai_Bachtiar_0002_result.jpg,dataset/output_x4/Dai_Bachtiar_0002_result.jpg,dataset/lfw_funneled/Yukiko_Okudo/Yukiko_Okudo_0001.jpg,dataset/output_x2/Yukiko_Okudo_0001_result.jpg,dataset/output_x3/Yukiko_Okudo_0001_result.jpg,dataset/output_x4/Yukiko_Okudo_0001_result.jpg
32,Lance_Armstrong,18,Robert_Evans,3,dataset/lfw_funneled/Lance_Armstrong/Lance_Armstrong_0018.jpg,dataset/output_x2/Lance_Armstrong_0018_result.jpg,dataset/output_x3/Lance_Armstrong_0018_result.jpg,dataset/output_x4/Lance_Armstrong_0018_result.jpg,dataset/lfw_funneled/Robert_Evans/Robert_Evans_0003.jpg,dataset/output_x2/Robert_Evans_0003_result.jpg,dataset/output_x3/Robert_Evans_0003_result.jpg,dataset/output_x4/Robert_Evans_0003_result.jpg
33,Amber_Tamblyn,2,Patty_Schnyder,1,dataset/lfw_funneled/Amber_Tamblyn/Amber_Tamblyn_0002.jpg,dataset/output_x2/Amber_Tamblyn_0002_result.jpg,dataset/output_x3/Amber_Tamblyn_0002_result.jpg,dataset/output_x4/Amber_Tamblyn_0002_result.jpg,dataset/lfw_funneled/Patty_Schnyder/Patty_Schnyder_0001.jpg,dataset/output_x2/Patty_Schnyder_0001_result.jpg,dataset/output_x3/Patty_Schnyder_0001_result.jpg,dataset/output_x4/Patty_Schnyder_0001_result.jpg
34,Mark_Wahlberg,1,Patty_Schnyder,2,dataset/lfw_funneled/Mark_Wahlberg/Mark_Wahlberg_0001.jpg,dataset/output_x2/Mark_Wahlberg_0001_result.jpg,dataset/output_x3/Mark_Wahlberg_0001_result.jpg,dataset/output_x4/Mark_Wahlberg_0001_result.jpg,dataset/lfw_funneled/Patty_Schnyder/Patty_Schnyder_0002.jpg,dataset/output_x2/Patty_Schnyder_0002_result.jpg,dataset/output_x3/Patty_Schnyder_0002_result.jpg,dataset/output_x4/Patty_Schnyder_0002_result.jpg
35,James_Caan,1,Tommy_Thompson,6,dataset/lfw_funneled/James_Caan/James_Caan_0001.jpg,dataset/output_x2/James_Caan_0001_result.jpg,dataset/output_x3/James_Caan_0001_result.jpg,dataset/output_x4/James_Caan_0001_result.jpg,dataset/lfw_funneled/Tommy_Thompson/Tommy_Thompson_0006.jpg,dataset/output_x2/Tommy_Thompson_0006_result.jpg,dataset/output_x3/Tommy_Thompson_0006_result.jpg,dataset/output_x4/Tommy_Thompson_0006_result.jpg
36,Pamela_Anderson,1,Ricardo_Monasterio,2,dataset/lfw_funneled/Pamela_Anderson/Pamela_Anderson_0001.jpg,dataset/output_x2/Pamela_Anderson_0001_result.jpg,dataset/output_x3/Pamela_Anderson_0001_result.jpg,dataset/output_x4/Pamela_Anderson_0001_result.jpg,dataset/lfw_funneled/Ricardo_Monasterio/Ricardo_Monasterio_0002.jpg,dataset/output_x2/Ricardo_Monasterio_0002_result.jpg,dataset/output_x3/Ricardo_Monasterio_0002_result.jpg,dataset/output_x4/Ricardo_Monasterio_0002_result.jpg
37,John_Manley,6,Lance_Armstrong,1,dataset/lfw_funneled/John_Manley/John_Manley_0006.jpg,dataset/output_x2/John_Manley_0006_result.jpg,dataset/output_x3/John_Manley_0006_result.jpg,dataset/output_x4/John_Manley_0006_result.jpg,dataset/lfw_funneled/Lance_Armstrong/Lance_Armstrong_0001.jpg,dataset/output_x2/Lance_Armstrong_0001_result.jpg,dataset/output_x3/Lance_Armstrong_0001_result.jpg,dataset/output_x4/Lance_Armstrong_0001_result.jpg
38,Brad_Johnson,1,Jennifer_Garner,11,dataset/lfw_funneled/Brad_Johnson/Brad_Johnson_0001.jpg,dataset/output_x2/Brad_Johnson_0001_result.jpg,dataset/output_x3/Brad_Johnson_0001_result.jpg,dataset/output_x4/Brad_Johnson_0001_result.jpg,dataset/lfw_funneled/Jennifer_Garner/Jennifer_Garner_0011.jpg,dataset/output_x2/Jennifer_Garner_0011_result.jpg,dataset/output_x3/Jennifer_Garner_0011_result.jpg,dataset/output_x4/Jennifer_Garner_0011_result.jpg
39,Edmund_Stoiber,4,Jennifer_Garner,1,dataset/lfw_funneled/Edmund_Stoiber/Edmund_Stoiber_0004.jpg,dataset/output_x2/Edmund_Stoiber_0004_result.jpg,dataset/output_x3/Edmund_Stoiber_0004_result.jpg,dataset/output_x4/Edmund_Stoiber_0004_result.jpg,dataset/lfw_funneled/Jennifer_Garner/Jennifer_Garner_0001.jpg,dataset/output_x2/Jennifer_Garner_0001_result.jpg,dataset/output_x3/Jennifer_Garner_0001_result.jpg,dataset/output_x4/Jennifer_Garner_0001_result.jpg
40,Jacques_Rogge,8,John_Snow,15,dataset/lfw_funneled/Jacques_Rogge/Jacques_Rogge_0008.jpg,dataset/output_x2/Jacques_Rogge_0008_result.jpg,dataset/output_x3/Jacques_Rogge_0008_result.jpg,dataset/output_x4/Jacques_Rogge_0008_result.jpg,dataset/lfw_funneled/John_Snow/John_Snow_0015.jpg,dataset/output_x2/John_Snow_0015_result.jpg,dataset/output_x3/John_Snow_0015_result.jpg,dataset/output_x4/John_Snow_0015_result.jpg
41,Bernard_Law,3,Trent_Lott,3,dataset/lfw_funneled/Bernard_Law/Bernard_Law_0003.jpg,dataset/output_x2/Bernard_Law_0003_result.jpg,dataset/output_x3/Bernard_Law_0003_result.jpg,dataset/output_x4/Bernard_Law_0003_result.jpg,dataset/lfw_funneled/Trent_Lott/Trent_Lott_0003.jpg,dataset/output_x2/Trent_Lott_0003_result.jpg,dataset/output_x3/Trent_Lott_0003_result.jpg,dataset/output_x4/Trent_Lott_0003_result.jpg
